,Region,Region_code,price_period,price_period_code,price,number_bathrooms,number_bedrooms,Parking,Central Heating,Washing Machine,Dryer,Dishwasher,Microwave,Pets Allowed,Wheelchair Access,Garden / Patio / Balcony,Serviced Property
0,Dublin 2,8,month,0,2970,2,2,1,1,1,1,1,1,1,1,1,1
1,Dublin 2,8,month,0,3690,2,3,1,1,1,1,1,1,1,1,1,1
2,Dublin 2,8,month,0,4000,2,2,1,1,1,1,1,1,1,1,1,1
3,Dublin 1,0,month,0,2300,1,1,1,1,1,1,1,1,1,1,1,0
4,Dublin 1,0,month,0,2430,1,1,1,1,1,1,1,1,1,1,1,0
5,Dublin 1,0,month,0,2550,2,2,1,1,1,1,1,1,1,1,1,0
6,Dublin 15,5,month,0,1800,1,1,1,1,1,1,1,1,0,1,1,0
7,Dublin 15,5,month,0,2200,2,2,1,1,1,1,1,1,0,1,1,0
8,Dublin 14,4,month,0,2100,1,1,1,1,1,1,1,1,1,0,1,0
9,Dublin 14,4,month,0,2500,2,2,1,1,1,1,1,1,1,0,1,0
10,Dublin 14,4,month,0,3325,2,2,1,1,1,1,1,1,1,0,1,0
11,Dublin Fingal K67,21,month,0,1750,1,1,0,1,1,0,1,0,0,0,1,0
12,Dublin Fingal K67,21,month,0,2000,2,2,0,1,1,0,1,0,0,0,1,0
13,Dublin Fingal K67,21,month,0,2500,2,3,0,1,1,0,1,0,0,0,1,0
14,Dublin 9,19,month,0,1650,1,1,1,0,1,1,1,1,1,1,1,1
15,Dublin 9,19,month,0,1775,2,2,1,0,1,1,1,1,1,1,1,1
16,Dublin 8,18,month,0,1900,1,1,1,1,1,1,1,1,1,1,1,1
17,Dublin 8,18,month,0,2200,2,2,1,1,1,1,1,1,1,1,1,1
18,Dublin 8,18,month,0,2700,2,3,1,1,1,1,1,1,1,1,1,1
19,Dublin 4,13,month,0,4000,3,2,1,1,1,1,1,1,1,0,1,0
20,Dublin 4,13,month,0,5000,3,2,1,1,1,1,1,1,1,0,1,0
21,Dublin 4,13,month,0,5500,4,3,1,1,1,1,1,1,1,0,1,0
22,Dublin 24,11,month,0,1575,1,1,0,1,1,0,1,1,0,1,1,0
23,Dublin 6W,16,month,0,2050,1,1,1,1,1,1,1,1,1,0,1,0
24,Dublin 6W,16,month,0,2300,2,2,1,1,1,1,1,1,1,0,1,0
25,Dublin 6W,16,month,0,2950,2,3,1,1,1,1,1,1,1,0,1,0
26,Dublin 2,8,month,0,2800,1,1,1,1,1,1,1,1,0,0,1,0
27,Dublin 2,8,month,0,3572,2,2,1,1,1,1,1,1,0,0,1,0
28,Dublin 2,8,month,0,4000,2,2,1,1,1,1,1,1,0,0,1,0
29,Dublin 9,19,month,0,1950,2,2,1,1,1,1,1,1,0,0,1,1
30,Dublin 9,19,month,0,2100,2,2,1,1,1,1,1,1,0,0,1,1
31,Dublin 9,19,month,0,2500,2,3,1,1,1,1,1,1,0,0,1,1
32,Dublin 2,8,month,0,2850,2,2,0,1,1,1,1,1,0,0,1,0
33,Dublin 4,13,month,0,2200,2,2,1,1,1,1,1,1,0,0,0,0
34,Dublin 4,13,month,0,2250,2,2,1,1,1,1,1,1,0,0,0,0
35,Dublin 4,13,month,0,2300,2,2,1,1,1,1,1,1,0,0,0,0
36,Dublin 8,18,month,0,2100,2,2,1,1,1,1,1,1,0,0,1,0
37,Dublin 8,18,month,0,2650,2,3,1,1,1,1,1,1,0,0,1,0
38,Dublin 1,0,month,0,1500,1,2,0,1,1,1,1,1,0,1,1,1
39,Dublin 1,0,month,0,1600,2,2,0,1,1,1,1,1,0,1,1,1
40,Dublin 1,0,month,0,1650,2,2,0,1,1,1,1,1,0,1,1,1
41,Dublin 8,18,month,0,1750,1,1,0,1,1,0,1,1,0,0,1,0
42,Dublin 8,18,month,0,2100,1,2,0,1,1,0,1,1,0,0,1,0
43,Dublin 8,18,month,0,1700,1,1,1,1,1,1,1,1,0,0,1,0
44,Dublin 8,18,month,0,1800,1,1,1,1,1,1,1,1,0,0,1,0
45,Dublin 8,18,month,0,2100,2,2,1,1,1,1,1,1,0,0,1,0
46,Dublin 1,0,month,0,1447,1,1,1,1,1,0,1,0,0,0,0,0
47,Dublin 1,0,month,0,1910,1,2,1,1,1,0,1,0,0,0,0,0
48,Dublin 1,0,month,0,1950,1,2,1,1,1,0,1,0,0,0,0,0
49,Dublin 18,7,month,0,2000,2,2,1,1,1,1,1,1,0,0,1,0
50,Dublin 1,0,month,0,1800,1,1,1,1,1,1,1,1,0,0,1,0
51,Dublin 1,0,month,0,2150,1,2,1,1,1,1,1,1,0,0,1,0
52,Dublin 6,15,month,0,1900,1,1,1,1,1,0,1,1,0,0,1,0
53,Dublin 6,15,month,0,2300,2,2,1,1,1,0,1,1,0,0,1,0
54,Dublin 6,15,month,0,2550,2,2,1,1,1,0,1,1,0,0,1,0
55,Dun Laoghaire A9X,24,month,0,1750,1,1,1,1,1,1,1,1,0,0,1,0
56,Dun Laoghaire A9X,24,month,0,2600,2,3,1,1,1,1,1,1,0,0,1,0
57,Dublin 18,7,month,0,1800,1,1,1,1,1,1,1,1,0,0,1,0
58,Dublin 18,7,month,0,1900,2,2,1,1,1,1,1,1,0,0,1,0
59,Dublin 18,7,month,0,2800,2,3,1,1,1,1,1,1,0,0,1,0
60,Dun Laoghaire A96,23,month,0,2200,2,2,1,1,1,1,1,1,1,1,1,1
